journal_name,publisher,areas,issn,abs_level,ft50,utd24,abdc,sjr,impact_factor,journal_weight
Journal of the Association for Information Systems,Association for Information Systems (AIS),Information Systems,1536-9323;1558-3457,4*,0,0,A*,,0.222,15.09
Federal Law Review,Australian National University,General Business & Economics,0067-205X;1444-6928,,0,0,A*,,0.2,15.08
The Sydney Law Review,Sydney Law School,General Business & Economics,0082-0512;1444-9528,,0,0,A*,,0.125,15.05
Canadian Tax Journal,Canadian Tax Foundation,General Business & Economics,0008-5111,,0,0,A*,,0.057,15.02
Journal of Economic Geography,Oxford University Press,Economics,1468-2702;1468-2710,4,0,0,A,,4.027,15.01
The Economic Journal,Wiley-Blackwell Publishing,Economics,0013-0133;1468-0297;1742-0350,4,0,0,A*,,4.019,15.01
Australian Tax Forum,Tax Institute,General Business & Economics,0812-695X,,0,0,A*,,0.0,15.0
Boston University Law Review,Boston University School of Law,General Business & Economics,0006-8047,,0,0,A*,,0.0,15.0
Columbia Law Review,"Columbia Law Review Association, Inc.",General Business & Economics,0010-1958;1945-2268,,0,0,A*,,0.0,15.0
Cornell Law Review,Cornell Law School,General Business & Economics,0010-8847,,0,0,A*,,0.0,15.0
Environment and Planning B: Urban Analytics and City Science,Sage Publications,General Management,0265-8135;1472-3417,,0,0,A*,,0.0,15.0
Harvard Law Review,Harvard University Press,General Business & Economics,0017-811X;2161-976X,,0,0,A*,,0.0,15.0
Law Quarterly Review,Sweet & Maxwell,General Business & Economics,0023-933X,,0,0,A*,,0.0,15.0
Melbourne University Law Review,Melbourne University Law Review Association,General Business & Economics,0025-8938;1839-3810,,0,0,A*,,0.0,15.0
Oxford University Commonwealth Law Journal,Taylor & Francis Online,General Business & Economics,1472-9342;1757-8469,,0,0,A*,,0.0,15.0
The Yale Law Journal,"The Yale Law Journal Company, Inc.",General Business & Economics,0044-0094;1939-8611,,0,0,A*,,0.0,15.0
University of Chicago Law Review,University of Chicago Law School,General Business & Economics,0041-9494;1939-859X,,0,0,A*,,0.0,15.0
MIS Quarterly: Management Information Systems,,Information Systems,,4*,0,0,,,0.0,15.0
Social Science & Medicine,Elsevier ScienceDirect,Economics,0277-9536;1873-5347,4,0,0,A,,3.643,14.85
Quantitative Economics,Wiley-Blackwell Publishing,Econometrics,1759-7323;1759-7331,4,0,0,A*,,3.555,14.81
Journal of Personality and Social Psychology,American Psychological Association,Strategy,0022-3514;1939-1315,4,0,0,A*,,3.043,14.6
Personality and Social Psychology Bulletin,Sage Publications,Strategy,0146-1672;1552-7433,4,0,0,A*,,3.042,14.6
Journal of Financial Intermediation,Elsevier,Finance,1042-9573;1096-0473,4,0,0,A*,,2.988,14.58
Journal of Econometrics,Elsevier,Econometrics,0304-4076;1872-6895,4,0,0,A*,,2.968,14.57
Journal of Labor Economics,University of Chicago Press,Economics,0734-306X;1537-5307,4,0,0,A*,,2.911,14.55
Socio-Economic Review,Oxford University Press,Economics,1475-1461;1475-147X,4,0,0,A,,2.802,14.5
International Journal of Management Reviews,Wiley-Blackwell Publishing,Strategy,1460-8545;1468-2370,3,0,0,A*,,10.74,14.47
Environment and Planning D: society and space,Sage Publications,General Management,0263-7758;1472-3433,4,0,0,A,,2.534,14.39
Theoretical Economics,The Econometric Society,Economics,1933-6837;1555-7561,4,0,0,A*,,2.522,14.38
Journal of Business Ethics,Springer Science+Business Media,Ethics & Governance,0167-4544;1573-0697,3,1,0,A,,5.932,14.35
International Economic Review,Wiley-Blackwell Publishing,Economics,0020-6598;1468-2354,4,0,0,A*,,2.388,14.33
"Work, Employment and Society",Sage Publications,Human Resource Management & Employment Studies,0950-0170;1469-8722,4,0,0,A,,2.309,14.3
Global Strategy Journal,Wiley-Blackwell Publishing,Strategy,2042-5791;2042-5805,4,0,0,A,,2.284,14.29
"Journal of Money, Credit and Banking",Wiley-Blackwell Publishing,Economics,0022-2879;1538-4616,4,0,0,A*,,2.256,14.27
Journal of Experimental Psychology: general,American Psychological Association,Strategy,0096-3445;1939-2222,4,0,0,A*,,2.067,14.19
Biometrika,Oxford University Press,General Business & Economics,0006-3444;1464-3510,4,0,0,A*,,2.042,14.18
"Journal of the Royal Statistical Society, Series B (Statistical Methodology)",Wiley-Blackwell Publishing,General Business & Economics,1467-9868;1369-7412,4,0,0,A*,,1.952,14.15
Journal of the American Statistical Association,Taylor & Francis Online,General Business & Economics,0162-1459;1537-274X,4,0,0,A*,,1.851,14.1
Journal of Business & Economic Statistics,Taylor & Francis Online,Econometrics,0735-0015;1537-2707,4,0,0,A*,,1.815,14.09
Journal of Experimental Social Psychology,Elsevier,Strategy,0022-1031;1096-0465,4,0,0,A,,1.795,14.08
British Journal of Industrial Relations,Wiley-Blackwell Publishing,Human Resource Management & Employment Studies,0007-1080;1467-8543,4,0,0,A*,,1.767,14.07
Sociology,Sage Publications,Strategy,0038-0385;1469-8684,4,0,0,A*,,1.75,14.06
Journal of Economic Theory,Elsevier,Economics,0022-0531;1095-7235,4,0,0,A*,,1.424,13.93
Business History,Taylor & Francis Online,Human Resource Management & Employment Studies,0007-6791;1743-7938,4,0,0,A*,,1.171,13.82
Econometric Theory,Cambridge University Press,Econometrics,0266-4666;1469-4360,4,0,0,A*,,1.159,13.82
Global Environmental Change,Elsevier,General Management,0959-3780;1872-9495,3,0,0,A*,,8.772,13.66
Journal of Experimental Psychology: Applied,American Psychological Association,Strategy,1076-898X;1939-2192,4,0,0,A,,0.748,13.64
Business History Review,Cambridge University Press,Human Resource Management & Employment Studies,0007-6805;2044-768X,4,0,0,A,,0.242,13.43
Transportation Research Part E: Logistics and Transportation Review,Elsevier,Operations & Technology Management,1366-5545;1878-5794,3,0,0,A*,,8.205,13.42
Information and Organization,Elsevier,Information Systems,1471-7727;1873-7919,3,0,0,A*,,8.074,13.36
International Journal of Hospitality Management,Elsevier,Sector Studies,0278-4319;1873-4693,3,0,0,A*,,8.076,13.36
Decision Support Systems,Elsevier,Information Systems,0167-9236;1873-5797,3,0,0,A*,,8.025,13.34
Economic History Review,,Business History & Economic History,,4,0,0,,,0.0,13.33
Human Resource Management (USA),,Human Resource Management & Employment Studies,,4,0,0,,,0.0,13.33
Industrial Relations,,Human Resource Management & Employment Studies,,4,0,0,,,0.0,13.33
IEEE Transactions on Evolutionary Computation,,Operations Research & Management Science,,4,0,0,,,0.0,13.33
Mathematical Programming,,Operations Research & Management Science,,4,0,0,,,0.0,13.33
Behavioral and Brain Sciences,,Psychology (General),,4,0,0,,,0.0,13.33
Cognition,,Psychology (General),,4,0,0,,,0.0,13.33
Current Directions in Psychological Science,,Psychology (General),,4,0,0,,,0.0,13.33
Nature Human Behaviour,,Psychology (General),,4,0,0,,,0.0,13.33
Work and Stress,,Psychology (Organizational),,4,0,0,,,0.0,13.33
Governance,,Public Sector & Health Care,,4,0,0,,,0.0,13.33
Public Administration,,Public Sector & Health Care,,4,0,0,,,0.0,13.33
"Transportation Research, Series B: Methodological",,Sector Studies,,4,0,0,,,0.0,13.33
International Organization,,Social Sciences,,4,0,0,,,0.0,13.33
Journal of Politics,,Social Sciences,,4,0,0,,,0.0,13.33
Risk Analysis,,Social Sciences,,4,0,0,,,0.0,13.33
