journal_name,publisher,areas,issn,abs_level,ft50,utd24,abdc,sjr,impact_factor,journal_weight
Human Resource Management (US),Wiley-Blackwell Publishing,Human Resource Management & Employment Studies,0090-4848;1099-050X,,0,0,A*,,6.42,17.68
Organizational Behavior and Human Decision Processes,Elsevier BV,Organizational Behaviour,0749-5978;1095-9920,4,1,0,A*,,5.792,17.62
American Sociological Review,Sage Publications,Strategy,0003-1224;1939-8271,4*,0,0,A*,,6.029,17.51
American Political Science Review,Cambridge University Press,General Management,0003-0554;1537-5943,4*,0,0,A*,,6.0,17.5
Psychological Science,Sage Publications,Strategy,0956-7976;1467-9280,4*,0,0,A*,,5.945,17.48
Transportation Research Part B: Methodological,Elsevier,Operations & Technology Management,0191-2615;1879-2367,,0,0,A*,,5.69,17.37
Review of Finance,Oxford University Press,Finance,1572-3097;1573-692X;1875-824X,4,1,0,A*,,4.721,17.18
Strategic Entrepreneurship Journal,Wiley,Entrepreneurship & Small Business Management,1932-4391;1932-443X,4,1,0,A,,4.509,17.09
American Journal of Political Science,Wiley-Blackwell Publishing,General Management,0092-5853;1540-5907,4*,0,0,A*,,4.931,17.05
Journal of Construction Engineering and Management,American Society of Civil Engineers,Sector Studies,0733-9364;1943-7862,,0,0,A*,,4.747,16.98
Journal of Service Research,Sage Publications,Marketing,1094-6705;1552-7379,4,0,0,A*,,8.653,16.94
Contemporary Accounting Research,Wiley,Accounting,0823-9150;1911-3846,4,1,0,A*,,3.958,16.86
Human Relations,SAGE Publishing,Organisation Studies,0018-7267;1741-282X,4,1,0,A*,,3.914,16.84
Information Systems Journal,Wiley-Blackwell Publishing,Information Systems,1350-1917;1365-2575,4,0,0,A*,,8.358,16.82
Organization Studies,SAGE Publishing,Organisation Studies,0170-8406;1741-3044,4,1,0,A*,,3.807,16.79
The RAND Journal of Economics,Wiley,Economics,0741-6261;1756-2171,4,1,0,A*,,3.742,16.77
Journal of Economic Perspectives,American Economic Association,Economics,0895-3309;1944-7965,4,0,0,A*,,8.13,16.72
European Journal of Information Systems,Taylor & Francis Online,Information Systems,0960-085X;1476-9344,4,0,0,A*,,8.046,16.69
Advances in Experimental Social Psychology,Elsevier,Strategy,0065-2601;1557-8410,,0,0,A*,,3.946,16.64
Environment and Planning A: Economy and Space,Sage Publications,General Management,0308-518X;1472-3409,,0,0,A*,,3.947,16.64
Journal of Supply Chain Management,Wiley-Blackwell Publishing,Operations & Technology Management,1523-2409;1745-493X;1055-6001;2375-0588,4,0,0,A*,,7.844,16.6
Journal of Financial and Quantitative Analysis,Cambridge University Press,Finance,0022-1090;1756-6916,4,1,0,A*,,3.259,16.57
